from	to
bbc0001	bbc00034
bbc0001	bbc0005
bbc0001	bbc0006
bbc0001	bbc0007
bbc0001	bbc00035
bbc0001	bbc00036
bbc0001	bbc0008
bbc0001	bbc00037
bbc0001	bbc00038
bbc0002	bbc00039
bbc0003	bbc0009
bbc0003	bbc00010
bbc0003	bbc00011
bbc0003	bbc00012
bbc0003	bbc00013
bbc0004	bbc00014
bbc0004	bbc00040
bbc0004	bbc00015
bbc0005	bbc00016
bbc0005	bbc00017
bbc0006	bbc00016
bbc0006	bbc00041
bbc0006	bbc0007
bbc0006	bbc00018
bbc0006	bbc00035
bbc0006	bbc0008
bbc0006	bbc00037
bbc0006	bbc00038
bbc0007	bbc00038
bbc0007	bbc00042
bbc0007	bbc00019
bbc0007	bbc00043
bbc0008	bbc0007
bbc0008	bbc00038
bbc0008	bbc00044
bbc0008	bbc00020
bbc0009	bbc00010
bbc0009	bbc00021
bbc0009	bbc00012
bbc0009	bbc00011
bbc00010	bbc00021
bbc00010	bbc00012
bbc00010	bbc00011
bbc00011	bbc00012
bbc00011	bbc00021
bbc00011	bbc00045
bbc00011	bbc00022
bbc00011	bbc00046
bbc00011	bbc00013
bbc00012	bbc00021
bbc00012	bbc00045
bbc00012	bbc00013
bbc00013	bbc00023
bbc00013	bbc00047
bbc00013	bbc00048
bbc00013	bbc00049
bbc00013	bbc00050
bbc00013	bbc00051
bbc00013	bbc00052
bbc00014	bbc00053
bbc00014	bbc00054
bbc00015	bbc00014
bbc00015	bbc00040
bbc00015	bbc00055
bbc00016	bbc00034
bbc00016	bbc0005
bbc00016	bbc0006
bbc00016	bbc0007
bbc00016	bbc00035
bbc00016	bbc00036
bbc00016	bbc0008
bbc00016	bbc00037
bbc00016	bbc00038
bbc00017	bbc0008
bbc00017	bbc0007
bbc00017	bbc00038
bbc00017	bbc00044
bbc00017	bbc00020
bbc0007	bbc00038
bbc0007	bbc00042
bbc0007	bbc00019
bbc0007	bbc00043
bbc00018	bbc00024
bbc00018	bbc00025
bbc00018	bbc00056
bbc00018	bbc00057
bbc0008	bbc0007
bbc0008	bbc00038
bbc0008	bbc00044
bbc0008	bbc00020
bbc00019	bbc00026
bbc00019	bbc00027
bbc00019	bbc00028
bbc00019	bbc00029
bbc00019	bbc00058
bbc00019	bbc00059
bbc00020	bbc00025
bbc00020	bbc00038
bbc00020	bbc00030
bbc00020	bbc00026
bbc00020	bbc00060
bbc00010	bbc00021
bbc00010	bbc00012
