from	to
ny0001	ny0007
ny0002	ny0008
ny0002	ny0009
ny0002	ny00072
ny0002	ny00073
ny0003	ny00010
ny0003	ny00011
ny0004	ny00012
ny0004	ny00013
ny0004	ny00074
ny0005	ny00014
ny0005	ny00015
ny0005	ny00016
ny0006	ny00017
ny0007	ny00018
ny0007	ny00019
ny0007	ny00020
ny0007	ny00021
ny0007	ny00022
ny0007	ny00023
ny0007	ny00024
ny0007	ny00075
ny0008	ny00025
ny0008	ny00026
ny0008	ny00076
ny0008	ny00027
ny0009	ny00028
ny0009	ny00029
ny00010	ny00030
ny00010	ny00011
ny00010	ny00031
ny00010	ny00032
ny00010	ny00077
ny00011	ny00031
ny00011	ny00033
ny00011	ny00034
ny00011	ny00035
ny00011	ny00036
ny00011	ny00037
ny00011	ny00078
ny00012	ny00038
ny00013	ny00074
ny00013	ny00039
ny00013	ny00040
ny00014	ny00041
ny00014	ny00042
ny00014	ny00015
ny00015	ny00043
ny00016	ny00079
ny00016	ny00044
ny00017	ny00080
ny00017	ny0006
ny00017	ny00045
ny00018	ny0007
ny00018	ny00046
ny00018	ny00020
ny00018	ny00021
ny00019	ny00018
ny00019	ny0007
ny00019	ny00021
ny00019	ny00024
ny00019	ny00020
ny00019	ny00022
ny00020	ny00081
ny00020	ny00018
ny00020	ny00021
ny00020	ny0007
ny00020	ny00023
ny00020	ny00024
ny00021	ny0007
ny00021	ny00020
ny00021	ny00022
ny00021	ny00023
ny00021	ny00024
ny00021	ny00019
ny00021	ny00018
ny00022	ny0007
ny00022	ny00020
ny00022	ny00021
ny00022	ny00018
ny00023	ny00047
ny00023	ny00021
ny00023	ny00019
ny00023	ny00018
ny00023	ny00022
ny00023	ny00020
ny00024	ny0007
ny00024	ny00048
ny00024	ny00082
ny00025	ny00027
ny00026	ny00049
ny00027	ny00083
ny00028	ny00084
ny00029	ny00085
ny00029	ny00086
ny00029	ny00087
ny00030	ny00010
ny00030	ny00011
ny00030	ny00031
ny00030	ny00050
ny00011	ny00031
ny00011	ny00033
ny00011	ny00034
ny00011	ny00035
ny00011	ny00036
ny00011	ny00037
ny00011	ny00078
ny00031	ny00011
ny00031	ny00050
ny00031	ny00035
ny00031	ny00051
ny00031	ny00052
ny00031	ny00033
ny00032	ny00035
ny00032	ny00052
ny00032	ny00088
ny00033	ny00011
ny00033	ny00031
ny00033	ny00032
ny00033	ny00035
ny00033	ny00089
ny00034	ny00053
ny00034	ny00054
ny00034	ny00055
ny00034	ny00056
ny00035	ny00052
ny00035	ny00057
ny00035	ny00090
ny00035	ny00058
ny00035	ny00059
ny00036	ny00060
ny00036	ny00061
ny00036	ny00062
